,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0,0.0,0.0,2.58,0.54,2
1,1,0.0,0.0,0.6,0.12,2
2,2,0.0,0.0,2.28,2.6399999999999997,2
3,3,0.0,0.0,2.94,2.94,2
4,4,0.0,0.0,0.42,1.56,2
5,5,0.0,0.0,1.92,1.3199999999999998,2
6,6,1.68,0.84,3.7199999999999998,1.92,1
7,7,2.46,1.23,3.8699999999999997,3.03,1
8,8,2.04,1.02,1.5,2.28,2
9,9,0.84,0.42,1.08,2.46,2
10,10,0.24,0.12,2.1,1.26,2
11,11,0.84,0.42,0.84,0.72,2
12,12,0.0,0.0,0.06,0.42,2
13,13,2.58,1.29,2.61,1.65,2
14,14,0.0,0.0,2.2199999999999998,2.76,2
15,15,0.0,0.0,1.08,0.3,2
16,16,2.4,1.2,2.58,3.9,3
17,17,0.0,0.0,0.24,1.74,2
18,18,2.46,1.23,1.41,2.01,2
19,19,1.5,0.75,1.65,2.67,2
20,20,0.0,0.0,1.98,1.14,2
21,21,1.26,0.63,2.4299999999999997,2.61,2
22,22,1.92,0.96,2.04,2.04,2
23,23,1.92,0.96,2.04,3.5999999999999996,3
24,24,2.34,1.17,1.65,1.29,2
25,25,2.1,1.05,1.41,1.5899999999999999,2
26,26,0.84,0.42,3.2399999999999998,1.38,2
27,27,0.84,0.42,3.12,1.8599999999999999,2
28,28,1.08,0.54,1.26,1.02,2
29,29,2.1,1.05,3.09,2.55,1
30,30,1.08,0.54,0.72,2.1,2
31,31,0.0,0.0,3.0,2.28,2
32,32,0.0,0.0,1.8599999999999999,2.88,2
33,33,2.34,1.17,2.67,3.09,3
34,34,1.26,0.69,2.01,2.4299999999999997,2
35,35,2.46,1.29,2.4899999999999998,1.89,2
36,36,2.76,1.47,1.56,1.56,2
37,37,3.1799999999999997,1.71,3.21,2.25,1
38,38,1.2,0.72,1.92,1.92,2
39,39,0.0,0.15,2.88,1.6199999999999999,2
40,40,2.52,1.44,4.02,2.88,1
41,41,1.7999999999999998,1.1099999999999999,1.3199999999999998,2.16,2
42,42,1.92,1.2,3.54,2.6999999999999997,1
43,43,3.12,1.7999999999999998,1.6199999999999999,3.3,3
44,44,2.1,1.29,1.95,3.3899999999999997,3
45,45,1.2,0.84,2.46,2.34,2
46,46,3.06,1.77,1.5899999999999999,3.27,3
47,47,0.42,0.44999999999999996,2.9699999999999998,2.01,2
48,48,1.3199999999999998,0.8999999999999999,1.74,1.38,2
49,49,2.34,1.41,1.89,2.01,2
50,50,1.26,0.87,2.55,2.9699999999999998,2
51,51,3.36,1.92,3.3,3.12,1
52,52,1.26,0.87,1.17,1.47,2
53,53,1.26,0.87,0.8099999999999999,2.4899999999999998,2
54,54,1.26,0.87,1.47,3.21,2
55,55,1.26,0.87,3.4499999999999997,3.15,1
56,56,1.26,0.87,1.23,2.9699999999999998,2
57,57,2.34,1.41,3.9299999999999997,3.81,1
58,58,1.08,0.78,1.56,1.3199999999999998,2
59,59,1.98,1.23,0.99,1.5899999999999999,2
60,60,0.84,0.6599999999999999,2.76,0.72,2
61,61,0.84,0.6599999999999999,3.12,2.6399999999999997,2
62,62,3.54,2.01,3.27,3.51,0
63,63,0.84,0.6599999999999999,1.56,2.04,2
64,64,0.84,0.6599999999999999,2.28,0.8999999999999999,2
65,65,1.68,1.08,1.44,0.8999999999999999,2
66,66,1.68,1.08,1.6199999999999999,2.52,2
67,67,2.58,1.53,1.5899999999999999,2.73,3
68,68,1.68,1.08,1.2,1.26,2
69,69,1.68,1.08,2.1,3.7199999999999998,3
70,70,1.08,0.78,3.48,0.54,2
71,71,2.94,1.71,3.27,3.63,3
72,72,1.68,1.08,2.52,3.36,3
73,73,1.68,1.08,2.34,1.08,2
74,74,1.68,1.08,2.88,3.84,3
75,75,1.68,1.08,3.54,2.4,1
76,76,1.98,1.23,1.05,3.8699999999999997,3
