,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0.0,0.0,0.258,0.054,2
1,0.0,0.0,0.06,0.012,2
2,0.0,0.0,0.228,0.264,2
3,0.0,0.0,0.294,0.294,2
4,0.0,0.0,0.042,0.156,2
5,0.0,0.0,0.192,0.132,2
6,0.168,0.084,0.372,0.192,1
7,0.246,0.123,0.387,0.303,1
8,0.20400000000000001,0.10200000000000001,0.15,0.228,2
9,0.084,0.042,0.108,0.246,2
10,0.024,0.012,0.21,0.126,2
11,0.084,0.042,0.084,0.07200000000000001,2
12,0.0,0.0,0.006,0.042,2
13,0.258,0.129,0.261,0.165,2
14,0.0,0.0,0.222,0.276,2
15,0.0,0.0,0.108,0.03,2
16,0.24,0.12,0.258,0.39,3
17,0.0,0.0,0.024,0.17400000000000002,2
18,0.246,0.123,0.14100000000000001,0.201,2
19,0.15,0.075,0.165,0.267,2
20,0.0,0.0,0.198,0.114,2
21,0.126,0.063,0.243,0.261,2
22,0.192,0.096,0.20400000000000001,0.20400000000000001,2
23,0.192,0.096,0.20400000000000001,0.36,3
24,0.234,0.117,0.165,0.129,2
25,0.21,0.105,0.14100000000000001,0.159,2
26,0.084,0.042,0.324,0.138,2
27,0.084,0.042,0.312,0.186,2
28,0.108,0.054,0.126,0.10200000000000001,2
29,0.21,0.105,0.309,0.255,1
30,0.108,0.054,0.07200000000000001,0.21,2
31,0.0,0.0,0.3,0.228,2
32,0.0,0.0,0.186,0.28800000000000003,2
33,0.234,0.117,0.267,0.309,3
34,0.126,0.069,0.201,0.243,2
35,0.246,0.129,0.249,0.189,2
36,0.276,0.147,0.156,0.156,2
37,0.318,0.171,0.321,0.225,1
38,0.12,0.07200000000000001,0.192,0.192,2
39,0.0,0.015,0.28800000000000003,0.162,2
40,0.252,0.14400000000000002,0.402,0.28800000000000003,1
41,0.18,0.111,0.132,0.216,2
42,0.192,0.12,0.354,0.27,1
43,0.312,0.18,0.162,0.33,3
44,0.21,0.129,0.195,0.339,3
45,0.12,0.084,0.246,0.234,2
46,0.306,0.177,0.159,0.327,3
47,0.042,0.045,0.297,0.201,2
48,0.132,0.09,0.17400000000000002,0.138,2
49,0.234,0.14100000000000001,0.189,0.201,2
50,0.126,0.08700000000000001,0.255,0.297,2
51,0.336,0.192,0.33,0.312,1
52,0.126,0.08700000000000001,0.117,0.147,2
53,0.126,0.08700000000000001,0.081,0.249,2
54,0.126,0.08700000000000001,0.147,0.321,2
55,0.126,0.08700000000000001,0.34500000000000003,0.315,1
56,0.126,0.08700000000000001,0.123,0.297,2
57,0.234,0.14100000000000001,0.393,0.381,1
58,0.108,0.078,0.156,0.132,2
59,0.198,0.123,0.099,0.159,2
60,0.084,0.066,0.276,0.07200000000000001,2
61,0.084,0.066,0.312,0.264,2
62,0.354,0.201,0.327,0.35100000000000003,0
63,0.084,0.066,0.156,0.20400000000000001,2
64,0.084,0.066,0.228,0.09,2
65,0.168,0.108,0.14400000000000002,0.09,2
66,0.168,0.108,0.162,0.252,2
67,0.258,0.153,0.159,0.273,3
68,0.168,0.108,0.12,0.126,2
69,0.168,0.108,0.21,0.372,3
70,0.108,0.078,0.34800000000000003,0.054,2
