,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0,0.0,0.0,1.29,0.27,2
1,1,0.0,0.0,0.3,0.06,2
2,2,0.0,0.0,1.14,1.3199999999999998,2
3,3,0.0,0.0,1.47,1.47,2
4,4,0.0,0.0,0.21,0.78,2
5,5,0.0,0.0,0.96,0.6599999999999999,2
6,6,0.84,0.42,1.8599999999999999,0.96,1
7,7,1.23,615,1.9349999999999998,1515,1
8,8,1.02,0.51,0.75,1.14,2
9,9,0.42,0.21,0.54,1.23,2
10,10,0.12,0.06,1.05,0.63,2
11,11,0.42,0.21,0.42,0.36,2
12,12,0.0,0.0,0.03,0.21,2
13,13,1.29,645,1305,825,2
14,14,0.0,0.0,1.1099999999999999,1.38,2
15,15,0.0,0.0,0.54,0.15,2
16,16,1.2,0.6,1.29,1.95,3
17,17,0.0,0.0,0.12,0.87,2
18,18,1.23,615,705,1005,2
19,19,0.75,375,825,1335,2
20,20,0.0,0.0,0.99,0.57,2
21,21,0.63,315,1.2149999999999999,1305,2
22,22,0.96,0.48,1.02,1.02,2
23,23,0.96,0.48,1.02,1.7999999999999998,3
24,24,1.17,585,825,645,2
25,25,1.05,525,705,0.7949999999999999,2
26,26,0.42,0.21,1.6199999999999999,0.69,2
27,27,0.42,0.21,1.56,0.9299999999999999,2
28,28,0.54,0.27,0.63,0.51,2
29,29,1.05,525,1545,1275,1
30,30,0.54,0.27,0.36,1.05,2
31,31,0.0,0.0,1.5,1.14,2
32,32,0.0,0.0,0.9299999999999999,1.44,2
33,33,1.17,585,1335,1545,3
34,34,0.63,345,1005,1.2149999999999999,2
35,35,1.23,645,1.2449999999999999,945,2
36,36,1.38,735,0.78,0.78,2
37,37,1.5899999999999999,855,1605,1125,1
38,38,0.6,0.36,0.96,0.96,2
39,39,0.0,75,1.44,0.8099999999999999,2
40,40,1.26,0.72,2.01,1.44,1
41,41,0.8999999999999999,0.5549999999999999,0.6599999999999999,1.08,2
42,42,0.96,0.6,1.77,1.3499999999999999,1
43,43,1.56,0.8999999999999999,0.8099999999999999,1.65,3
44,44,1.05,645,975,1.6949999999999998,3
45,45,0.6,0.42,1.23,1.17,2
46,46,1.53,885,0.7949999999999999,1635,3
47,47,0.21,0.22499999999999998,1.4849999999999999,1005,2
48,48,0.6599999999999999,0.44999999999999996,0.87,0.69,2
49,49,1.17,705,945,1005,2
50,50,0.63,435,1275,1.4849999999999999,2
51,51,1.68,0.96,1.65,1.56,1
52,52,0.63,435,585,735,2
53,53,0.63,435,0.40499999999999997,1.2449999999999999,2
54,54,0.63,435,735,1605,2
55,55,0.63,435,1.7249999999999999,1575,1
56,56,0.63,435,615,1.4849999999999999,2
57,57,1.17,705,1.9649999999999999,1905,1
58,58,0.54,0.39,0.78,0.6599999999999999,2
59,59,0.99,615,495,0.7949999999999999,2
60,60,0.42,0.32999999999999996,1.38,0.36,2
61,61,0.42,0.32999999999999996,1.56,1.3199999999999998,2
62,62,1.77,1005,1635,1755,0
63,63,0.42,0.32999999999999996,0.78,1.02,2
64,64,0.42,0.32999999999999996,1.14,0.44999999999999996,2
65,65,0.84,0.54,0.72,0.44999999999999996,2
66,66,0.84,0.54,0.8099999999999999,1.26,2
67,67,1.29,765,0.7949999999999999,1365,3
68,68,0.84,0.54,0.6,0.63,2
69,69,0.84,0.54,1.05,1.8599999999999999,3
70,70,0.54,0.39,1.74,0.27,2
71,71,1.47,855,1635,1815,3
72,72,0.84,0.54,1.26,1.68,3
73,73,0.84,0.54,1.17,0.54,2
74,74,0.84,0.54,1.44,1.92,3
75,75,0.84,0.54,1.77,1.2,1
76,76,0.99,615,525,1.9349999999999998,3
77,77,1.6199999999999999,0.9299999999999999,2.07,1.08,1
78,78,1.8299999999999998,1035,1815,1905,0
79,79,0.96,0.6,0.87,1.5899999999999999,2
80,80,1.38,0.8099999999999999,1.44,0.8999999999999999,1
81,81,0.32999999999999996,285,0.9149999999999999,825,2
82,82,0.21,0.22499999999999998,1155,0.16499999999999998,2
83,83,0.54,0.39,0.6599999999999999,0.8999999999999999,2
84,84,1.71,975,1815,1.9349999999999998,0
85,85,0.54,0.39,0.84,1.3499999999999999,2
86,86,0.32999999999999996,285,705,525,2
87,87,1.23,735,2025,1.4549999999999998,1
88,88,0.32999999999999996,285,0.7949999999999999,0.9149999999999999,2
89,89,1.5,0.87,1.02,1.29,3
90,90,1.05,645,1005,615,2
91,91,0.32999999999999996,285,585,0.6749999999999999,2
92,92,1.44,0.84,1.92,1.98,0
93,93,0.75,495,1.7249999999999999,1.6949999999999998,1
94,94,0.96,0.6,0.48,1.29,2
95,95,0.75,495,585,1095,2
96,96,0.75,495,1305,1395,2
97,97,0.75,495,0.40499999999999997,855,2
98,98,0.32999999999999996,285,1.4849999999999999,0.5549999999999999,2
99,99,0.75,495,1605,1005,2
100,100,1.5899999999999999,0.9149999999999999,1665,1395,1
101,101,0.84,0.5549999999999999,1.5,1.5,1
102,102,1.47,0.87,0.9149999999999999,765,2
103,103,0.54,0.40499999999999997,0.99,1.41,2
104,104,0.54,0.40499999999999997,1.17,1.41,2
105,105,0.42,345,0.9299999999999999,1.08,2
106,106,0.42,345,0.87,0.69,2
107,107,0.42,345,0.32999999999999996,0.24,2
108,108,1.05,0.6749999999999999,615,645,2
109,109,1.29,0.7949999999999999,1.4549999999999998,705,1
110,110,0.87,0.6,1.6949999999999998,615,1
111,111,0.75,0.54,1185,1125,2
112,112,0.6,0.46499999999999997,0.42,1.74,2
113,113,0.42,0.39,0.24,1.47,2
114,114,0.54,0.44999999999999996,0.6599999999999999,0.84,2
115,115,0.42,0.39,1.38,1.23,2
116,116,0.32999999999999996,345,525,375,2
117,117,0.87,615,1395,765,2
118,118,0.42,0.39,0.87,0.32999999999999996,2
119,119,0.84,615,0.42,1.74,2
120,120,0.78,585,0.42,0.6599999999999999,2
121,121,0.42,0.40499999999999997,0.32999999999999996,1.3499999999999999,2
122,122,0.36,375,1.2,0.44999999999999996,2
123,123,0.54,0.46499999999999997,0.96,1.41,2
124,124,0.42,0.42,0.72,1.23,2
125,125,0.63,525,345,435,2
126,126,1.1099999999999999,765,1515,1.2449999999999999,1
127,127,1.08,0.75,0.63,1.17,2
128,128,0.12,0.27,1.3499999999999999,0.69,2
129,129,1.3199999999999998,0.87,2.01,1.95,1
130,130,1.3499999999999999,885,1905,1095,1
131,131,0.21,315,1.4549999999999998,1155,2
132,132,0.72,0.57,1.74,1.74,1
133,133,0.42,0.42,0.8999999999999999,0.87,2
134,134,1.17,0.8099999999999999,765,2085,3
135,135,0.84,645,0.78,1.65,2
136,136,0.87,0.6599999999999999,1305,645,2
137,137,0.87,0.6599999999999999,1905,1065,1
138,138,1.05,0.75,0.6749999999999999,1005,2
139,139,1.05,0.75,1155,1065,2
140,140,1.05,0.75,1125,735,2
141,141,1.05,0.75,1905,615,1
142,142,1.02,735,0.51,0.9299999999999999,2
143,143,1.05,0.75,1095,1365,2
144,144,1.05,0.75,1.2449999999999999,0.9149999999999999,2
145,145,1.05,0.75,1.4849999999999999,1785,3
146,146,1.05,0.75,975,855,2
147,147,1.05,0.75,1.9349999999999998,615,1
148,148,1.3499999999999999,0.8999999999999999,1605,1515,1
149,149,0.42,435,1.05,0.99,2
150,150,1.3499999999999999,0.8999999999999999,1.9649999999999999,1755,1
151,151,1.53,0.99,2085,2145,0
152,152,0.42,435,1.17,0.51,2
153,153,0.42,435,1.08,0.36,2
154,154,1.3499999999999999,0.8999999999999999,2025,1605,1
155,155,1.3199999999999998,885,0.9299999999999999,2.07,3
156,156,1.8599999999999999,1155,2.2199999999999998,0.99,1
157,157,0.51,0.48,1.7249999999999999,1.4849999999999999,1
158,158,0.42,435,1.1099999999999999,0.27,2
159,159,1.38,0.9149999999999999,1.38,1.38,1
160,160,1.38,0.9149999999999999,0.72,0.84,2
161,161,0.54,495,1.26,0.48,2
162,162,0.54,495,1.68,1.23,2
163,163,0.54,495,1.38,0.87,2
164,164,0.54,495,0.99,1.41,2
165,165,0.54,495,1.71,0.32999999999999996,2
166,166,1.65,1.05,1605,2295,0
167,167,1.1099999999999999,0.78,855,1275,2
168,168,0.6,525,0.72,0.32999999999999996,2
169,169,0.99,0.72,1605,1155,1
170,170,1.44,945,2.16,1.05,1
171,171,1.74,1095,1.2,2.01,3
