,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0.0,0.0,1.29,0.27,2
1,0.0,0.0,0.3,0.06,2
2,0.0,0.0,1.14,1.3199999999999998,2
3,0.0,0.0,1.47,1.47,2
4,0.0,0.0,0.21,0.78,2
5,0.0,0.0,0.96,0.6599999999999999,2
6,0.84,0.42,1.8599999999999999,0.96,1
7,1.23,0.615,1.9349999999999998,1.515,1
8,1.02,0.51,0.75,1.14,2
9,0.42,0.21,0.54,1.23,2
10,0.12,0.06,1.05,0.63,2
11,0.42,0.21,0.42,0.36,2
12,0.0,0.0,0.03,0.21,2
13,1.29,0.645,1.305,0.825,2
14,0.0,0.0,1.1099999999999999,1.38,2
15,0.0,0.0,0.54,0.15,2
16,1.2,0.6,1.29,1.95,3
17,0.0,0.0,0.12,0.87,2
18,1.23,0.615,0.705,1.005,2
19,0.75,0.375,0.825,1.335,2
20,0.0,0.0,0.99,0.57,2
21,0.63,0.315,1.2149999999999999,1.305,2
22,0.96,0.48,1.02,1.02,2
23,0.96,0.48,1.02,1.7999999999999998,3
24,1.17,0.585,0.825,0.645,2
25,1.05,0.525,0.705,0.7949999999999999,2
26,0.42,0.21,1.6199999999999999,0.69,2
27,0.42,0.21,1.56,0.9299999999999999,2
28,0.54,0.27,0.63,0.51,2
29,1.05,0.525,1.545,1.275,1
30,0.54,0.27,0.36,1.05,2
31,0.0,0.0,1.5,1.14,2
32,0.0,0.0,0.9299999999999999,1.44,2
33,1.17,0.585,1.335,1.545,3
34,0.63,0.345,1.005,1.2149999999999999,2
35,1.23,0.645,1.2449999999999999,0.945,2
36,1.38,0.735,0.78,0.78,2
37,1.5899999999999999,0.855,1.605,1.125,1
38,0.6,0.36,0.96,0.96,2
39,0.0,0.075,1.44,0.8099999999999999,2
40,1.26,0.72,2.01,1.44,1
41,0.8999999999999999,0.5549999999999999,0.6599999999999999,1.08,2
42,0.96,0.6,1.77,1.3499999999999999,1
43,1.56,0.8999999999999999,0.8099999999999999,1.65,3
44,1.05,0.645,0.975,1.6949999999999998,3
45,0.6,0.42,1.23,1.17,2
46,1.53,0.885,0.7949999999999999,1.635,3
47,0.21,0.22499999999999998,1.4849999999999999,1.005,2
48,0.6599999999999999,0.44999999999999996,0.87,0.69,2
49,1.17,0.705,0.945,1.005,2
50,0.63,0.435,1.275,1.4849999999999999,2
51,1.68,0.96,1.65,1.56,1
52,0.63,0.435,0.585,0.735,2
53,0.63,0.435,0.40499999999999997,1.2449999999999999,2
54,0.63,0.435,0.735,1.605,2
55,0.63,0.435,1.7249999999999999,1.575,1
56,0.63,0.435,0.615,1.4849999999999999,2
57,1.17,0.705,1.9649999999999999,1.905,1
58,0.54,0.39,0.78,0.6599999999999999,2
59,0.99,0.615,0.495,0.7949999999999999,2
60,0.42,0.32999999999999996,1.38,0.36,2
61,0.42,0.32999999999999996,1.56,1.3199999999999998,2
62,1.77,1.005,1.635,1.755,0
63,0.42,0.32999999999999996,0.78,1.02,2
64,0.42,0.32999999999999996,1.14,0.44999999999999996,2
65,0.84,0.54,0.72,0.44999999999999996,2
66,0.84,0.54,0.8099999999999999,1.26,2
67,1.29,0.765,0.7949999999999999,1.365,3
68,0.84,0.54,0.6,0.63,2
69,0.84,0.54,1.05,1.8599999999999999,3
70,0.54,0.39,1.74,0.27,2
71,1.47,0.855,1.635,1.815,3
72,0.84,0.54,1.26,1.68,3
73,0.84,0.54,1.17,0.54,2
74,0.84,0.54,1.44,1.92,3
75,0.84,0.54,1.77,1.2,1
76,0.99,0.615,0.525,1.9349999999999998,3
77,1.6199999999999999,0.9299999999999999,2.07,1.08,1
78,1.8299999999999998,1.035,1.815,1.905,0
